CBSA,Latitude,Longitude
19740,39.7392,-104.9903
14260,43.615,-116.2023
39340,40.2338,-111.6585
41100,37.0965,-113.5684
41620,40.7608,-111.891
35620,40.7128,-74.006
16980,41.8781,-87.6298
26420,29.7604,-95.3698
17140,39.1031,-84.512
17460,41.4993,-81.6944
12060,34.0522,-118.2437
12580,35.2271,-80.8431
13820,32.7767,-96.797
16740,33.749,-84.388
26900,39.7684,-86.1581
29820,36.1627,-86.7816
31080,39.9612,-82.9988
33100,25.7617,-80.1918
33460,33.4484,-112.074
34980,36.1745,-115.1398
35380,32.7157,-117.1611
36100,29.4241,-98.4936
36420,35.4676,-97.5164
36740,39.9612,-82.9988
37980,33.749,-84.388
38300,37.7749,-122.4194
38900,40.4406,-79.9959
39300,42.3601,-71.0589
40060,39.2904,-76.6122
40380,42.3314,-83.0458
40900,38.2527,-85.7585
41180,43.0389,-87.9065
41940,38.627,-90.1994
44140,35.2271,-80.8431
45060,36.1627,-86.7816
46520,42.7325,-84.5555
47260,39.9612,-82.9988
47900,38.9072,-77.0369
48620,45.5122,-122.6765
49660,41.8781,-87.6298
49740,35.7796,-78.6382
47940,32.7765,-96.7969
49180,40.7128,-74.006
49340,35.994,-78.8986
49380,36.8508,-76.2859
49420,33.4484,-112.074
49620,42.2808,-83.743
49660,36.1627,-86.7816
49700,35.4676,-97.5164
49740,39.7392,-104.9903
