CBSA,CBSA Title,State,Latitude,Longitude
19740,"Denver-Aurora-Lakewood, CO",CO,39.7392,-104.9903
14260,"Boise City, ID",ID,43.615,-116.2023
39340,"Provo-Orem, UT",UT,40.2338,-111.6585
41100,"St. George, UT",UT,37.0965,-113.5684
41620,"Salt Lake City, UT",UT,40.7608,-111.891
35620,"New York-Newark-Jersey City, NY-NJ-PA",NY,40.7128,-74.006
16980,"Chicago-Naperville-Elgin, IL-IN-WI",IL,41.8781,-87.6298
26420,"Houston-The Woodlands-Sugar Land, TX",TX,29.7604,-95.3698
17140,"Cincinnati, OH-KY-IN",OH,39.1031,-84.512
17460,"Cleveland-Elyria, OH",OH,41.4993,-81.6944
